,index,n,r,CI95%,r2,adj_r2,p-val,BF10,power,X,Y,X_covars,Y_covars
95,pearson,11718,-0.372,[-0.39 -0.36],0.139,0.139,0.0,inf,1.0,generationtime_m,length_birth_m,None,"['growth_length_m', 'division_ratios__f_n_m']"
96,pearson,11718,0.019,[0.   0.04],0.0,0.0,0.0379233878836361,0.1,0.546,generationtime_m,length_birth_m,None,"['growth_length_m', 'phi_m']"
97,pearson,11718,0.033,[0.01 0.05],0.001,0.001,0.0004328770592285336,5.657,0.941,generationtime_m,length_birth_m,None,"['division_ratios__f_n_m', 'phi_m']"
98,pearson,11718,0.02,[0.   0.04],0.0,0.0,0.03008352349270205,0.122,0.583,generationtime_m,length_birth_m,None,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
99,pearson,11718,-0.42,[-0.43 -0.4 ],0.176,0.176,0.0,inf,1.0,generationtime_m,length_birth_m,['growth_length_m'],['division_ratios__f_n_m']
100,pearson,11718,0.024,[0.01 0.04],0.001,0.0,0.0081965773300707,0.381,0.753,generationtime_m,length_birth_m,['growth_length_m'],['phi_m']
101,pearson,11718,-0.421,[-0.44 -0.41],0.177,0.177,0.0,inf,1.0,generationtime_m,length_birth_m,['growth_length_m'],"['growth_length_m', 'division_ratios__f_n_m']"
102,pearson,11718,0.022,[0.   0.04],0.0,0.0,0.018867332093355144,0.182,0.651,generationtime_m,length_birth_m,['growth_length_m'],"['growth_length_m', 'phi_m']"
103,pearson,11718,0.025,[0.01 0.04],0.001,0.0,0.005920450039196087,0.511,0.786,generationtime_m,length_birth_m,['growth_length_m'],"['division_ratios__f_n_m', 'phi_m']"
104,pearson,11718,0.023,[0.   0.04],0.001,0.0,0.014139387379981763,0.235,0.689,generationtime_m,length_birth_m,['growth_length_m'],"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
105,pearson,11718,0.038,[0.02 0.06],0.001,0.001,4.711609363748278e-05,45.634,0.983,generationtime_m,length_birth_m,['division_ratios__f_n_m'],['phi_m']
106,pearson,11718,-0.375,[-0.39 -0.36],0.141,0.141,0.0,inf,1.0,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['growth_length_m', 'division_ratios__f_n_m']"
107,pearson,11718,0.025,[0.01 0.04],0.001,0.0,0.006476925209451748,0.471,0.777,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['growth_length_m', 'phi_m']"
108,pearson,11718,0.033,[0.01 0.05],0.001,0.001,0.0003882558757466032,6.262,0.944,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['division_ratios__f_n_m', 'phi_m']"
109,pearson,11718,0.02,[0.   0.04],0.0,0.0,0.02876392631428536,0.126,0.59,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
110,pearson,11718,-0.027,[-0.05 -0.01],0.001,0.001,0.003242601294330707,0.881,0.837,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'division_ratios__f_n_m']"
111,pearson,11718,0.03,[0.01 0.05],0.001,0.001,0.0012515287510984998,2.111,0.897,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'phi_m']"
112,pearson,11718,0.051,[0.03 0.07],0.003,0.002,4.442739384078749e-08,3.677e+04,1.0,generationtime_m,length_birth_m,['phi_m'],"['division_ratios__f_n_m', 'phi_m']"
113,pearson,11718,0.031,[0.01 0.05],0.001,0.001,0.0007463394668996596,3.406,0.921,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
114,pearson,11718,0.029,[0.01 0.05],0.001,0.001,0.0017510135881235339,1.549,0.879,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['growth_length_m', 'phi_m']"
115,pearson,11718,0.026,[0.01 0.04],0.001,0.0,0.005451477221215887,0.55,0.794,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['division_ratios__f_n_m', 'phi_m']"
116,pearson,11718,0.023,[0.   0.04],0.001,0.0,0.013051871117374879,0.252,0.699,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
117,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.513923533678818e-14,3.399e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['division_ratios__f_n_m', 'phi_m']"
118,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.4492210242750966e-14,3.462e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
119,pearson,11718,0.031,[0.01 0.05],0.001,0.001,0.0007416014032471022,3.427,0.921,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
120,pearson,11718,-0.498,[-0.51 -0.48],0.248,0.248,0.0,inf,1.0,generationtime_m,growth_length_m,None,['length_birth_m']
121,pearson,11718,-0.469,[-0.48 -0.46],0.22,0.22,0.0,inf,1.0,generationtime_m,growth_length_m,None,['division_ratios__f_n_m']
122,pearson,11718,-0.576,[-0.59 -0.56],0.332,0.332,0.0,inf,1.0,generationtime_m,growth_length_m,None,['phi_m']
123,pearson,11718,-0.499,[-0.51 -0.48],0.249,0.249,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['length_birth_m', 'division_ratios__f_n_m']"
124,pearson,11718,-0.575,[-0.59 -0.56],0.331,0.331,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['length_birth_m', 'phi_m']"
125,pearson,11718,-0.576,[-0.59 -0.56],0.332,0.332,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['division_ratios__f_n_m', 'phi_m']"
126,pearson,11718,-0.575,[-0.59 -0.56],0.331,0.331,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['length_birth_m', 'division_ratios__f_n_m', 'phi_m']"
127,pearson,11718,-0.468,[-0.48 -0.45],0.219,0.218,0.0,inf,1.0,generationtime_m,growth_length_m,None,None
128,pearson,11718,-0.498,[-0.51 -0.48],0.248,0.248,0.0,inf,1.0,generationtime_m,growth_length_m,None,['length_birth_m']
129,pearson,11718,-0.469,[-0.48 -0.46],0.22,0.22,0.0,inf,1.0,generationtime_m,growth_length_m,None,['division_ratios__f_n_m']
130,pearson,11718,-0.576,[-0.59 -0.56],0.332,0.332,0.0,inf,1.0,generationtime_m,growth_length_m,None,['phi_m']
131,pearson,11718,-0.499,[-0.51 -0.48],0.249,0.249,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['length_birth_m', 'division_ratios__f_n_m']"
132,pearson,11718,-0.575,[-0.59 -0.56],0.331,0.331,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['length_birth_m', 'phi_m']"
133,pearson,11718,-0.576,[-0.59 -0.56],0.332,0.332,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['division_ratios__f_n_m', 'phi_m']"
134,pearson,11718,-0.575,[-0.59 -0.56],0.331,0.331,0.0,inf,1.0,generationtime_m,growth_length_m,None,"['length_birth_m', 'division_ratios__f_n_m', 'phi_m']"
135,pearson,11718,-0.53,[-0.54 -0.52],0.281,0.281,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],['division_ratios__f_n_m']
136,pearson,11718,-0.62,[-0.63 -0.61],0.385,0.385,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],['phi_m']
137,pearson,11718,-0.531,[-0.54 -0.52],0.282,0.282,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],"['length_birth_m', 'division_ratios__f_n_m']"
138,pearson,11718,-0.613,[-0.62 -0.6 ],0.376,0.376,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],"['length_birth_m', 'phi_m']"
139,pearson,11718,-0.62,[-0.63 -0.61],0.385,0.385,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],"['division_ratios__f_n_m', 'phi_m']"
140,pearson,11718,-0.613,[-0.62 -0.6 ],0.375,0.375,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],"['length_birth_m', 'division_ratios__f_n_m', 'phi_m']"
141,pearson,11718,-0.529,[-0.54 -0.52],0.279,0.279,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],None
142,pearson,11718,-0.531,[-0.54 -0.52],0.281,0.281,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],['length_birth_m']
143,pearson,11718,-0.53,[-0.54 -0.52],0.281,0.281,0.0,inf,1.0,generationtime_m,growth_length_m,['length_birth_m'],['division_ratios__f_n_m']
